"","x"
"1",0
"2",0
"3",0.00233333480233947
"4",0
"5",1.08654300371783e-09
"6",0
"7",-0.00116666631462673
"8",0
"9",-0.00233333371579647
"10",-2.71635750929289e-10
"11",-0.00233333371579647
"12",-0.00116666590717311
"13",0
"14",0.00116666658626248
"15",-0.00233333371579647
"16",-1.35817875465134e-10
"17",-0.00116666685789824
"18",-0.00466666607341419
"19",-0.00116666685789824
"20",-0.00233333317252497
"21",-0.00350000247514496
"22",-0.00466666688832144
"23",-0.0081666627083905
"24",-0.0151666696959486
"25",-0.0233333319968854
"26",-0.026833333792941
"27",-0.0443333346241464
"28",-0.0606666666960033
"29",-0.0781666687495696
"30",-0.0956666653704209
"31",-0.113166661719636
"32",-0.130666676675901
"33",-0.168000001188678
"34",-0.169166665330219
"35",-0.193666656715019
"36",-0.197166681871749
"37",-0.202999999319824
"38",-0.212333327663752
"39",-0.191333339840639
"40",-0.184333307590956
"41",-0.169166670219662
"42",-0.149333344229187
"43",-0.131833323161118
"44",-0.109666689667696
"45",-0.0898333147827846
"46",-0.0735000028119733
"47",-0.069999986483405
"48",-0.0571666825562716
"49",-0.0396666536107659
"50",-0.0350000057369471
"51",-0.0361666791141033
"52",-0.0175000050415595
"53",-0.019833343103528
"54",-0.00933331313232581
"55",-0.0104999908556541
"56",-3.04232041041063e-08
"57",0.00583334515492121
"58",0.00116667337715626
"59",0.015166645248731
"60",0.0116666859636704
"61",0.0139999892562628
"62",0.0186666740725438
"63",0.0186666610340277
"64",0.0186666610340277
"65",0.0209999990959962
"66",0.0163333316644033
"67",0.0198333474497
"68",0.0221666594346364
"69",0.015166662633419
"70",0.0186666610340277
"71",0.0140000109871229
"72",0.019833338757356
"73",0.0163333403567473
"74",0.0209999904036522
"75",0.0139999936024348
"76",0.0105000038941701
"77",0.0140000044678648
"78",0.0128333223983645
"79",0.0116666750982404
"80",0.015166661546876
"81",0.0093333413824439
"82",0.0128333211760037
"83",0.0140000051469542
"84",0.0139999952322493
"85",0.019833343103528
"86",0.0221666605211794
"87",0.024500010535121
"88",0.0338333334463338
"89",0.0338333193212748
"90",0.0350000122562051
"91",0.044333346032848
"92",0.0559999836453547
"93",0.0524999966534475
"94",0.0594999972575655
"95",0.0653333538211882
"96",0.0618333065261443
"97",0.063000018747213
"98",0.0606666594976559
"99",0.0606666744376222
"100",0.0571666555285143
"101",0.0548333427286707
"102",0.0583333420800045
"103",0.0571666491450742
"104",0.0454999987656871
"105",0.0513333374013503
"106",0.0466666656235854
"107",0.0408333443726102
"108",0.0396666557838519
"109",0.0431666628768047
"110",0.0361666758544743
"111",0.0314999877785643
"112",0.0326666729718757
"113",0.030333337354629
"114",0.0256666556621591
"115",0.0221666779058675
"116",0.0233333311819782
"117",0.0198333327813695
"118",0.0210000132210553
"119",0.0221666637808084
"120",0.0174999887434145
"121",0.0128333289176226
"122",0.0128333464381285
"123",0.0186666666025606
"124",0.0174999975715764
"125",0.0163333410358367
"126",0.0256666627246886
"127",0.0291666642491085
"128",0.0314999976932692
"129",0.0268333431643744
"130",0.0361666595563293
"131",0.0315000046199808
"132",0.0396666555122162
"133",0.0303333494424199
"134",0.0431666514681031
"135",0.039666682947427
"136",0.0384999891975895
"137",0.0408333267162864
"138",0.0291666793248927
"139",0.0373333272291347
"140",0.0349999990818712
"141",0.0384999999272016
"142",0.0279999975270281
"143",0.0350000062802186
"144",0.0291666671012839
"145",0.037333330217128
"146",0.0280000018732001
"147",0.0326666687615216
"148",0.0291666692743699
"149",0.0314999921247363
"150",0.0303333327368212
"151",0.0268333343362125
"152",0.0209999929841918
"153",0.0151666703750379
"154",0.0198333314231907
"155",0.0210000079241581
"156",0.0151666624976012
"157",0.0069999984310319
"158",0.00933333377664288
"159",0.0151666713257631
"160",0.00583332994331916
"161",0.0139999968620638
"162",0.0151666713257631
"163",0.0105000038941701
"164",0.019833328978469
"165",0.0116666718386114
"166",0.0174999974357585
"167",0.0233333306387067
"168",0.0151666715973988
"169",0.0256666654410462
"170",0.0256666636754138
"171",0.0233333329476106
"172",0.0209999947498242
"173",0.021000002627261
"174",0.019833327891926
"175",0.0140000113945765
"176",0.012833337202513
"177",0.0104999968316406
"178",0.00699999245504538
"179",0.0105000057956204
"180",0.00233333371579647
"181",0.011666661380635
"182",-0.00349999405443668
"183",0.00349999459770819
"184",0.00466666620923206
"185",0.001166672562249
"186",0.0104999984614551
"187",0.010499996424187
"188",0.00583333442530905
"189",0.0140000003933286
"190",0.0128333367950593
"191",0.0104999946585546
"192",0.0139999987635141
"193",0.010500002943445
"194",0.00933332834392786
"195",0.0128333367950593
"196",0.01166666681335
"197",0.0081666699067379
"198",0.0116666674924394
"199",0.00349999527679756
"200",0.00583333782075594
"201",0.00583333279549455
"202",0.00816666719038039
"203",0.00816666691874464
"204",0.00466666308542093
"205",0.00933333445573226
"206",0.0105000043016238
"207",0.00466666362869243
"208",0.00350000057369471
"209",0.0069999962579459
"210",0.00466667069122195
"211",0.00466666960467895
"212",0.00466666308542093
"213",0.00233333208598197
"214",0.00350000274678071
"215",0.00233333208598197
"216",-3.12381113568848e-09
"217",0.00116666903098424
"218",0.00350000043787683
"219",1.90145025650645e-09
"220",-0.00116666645044461
"221",0.00116666441317648
"222",0.00116666604299098
"223",-0.00233333222179984
"224",0.00233333385161435
"225",-0.00233333453070372
"226",0.00233333588888248
"227",-0.00116666957425574
"228",-0.00116666359826922
"229",0.00116666522808373
"230",-0.00116666685789824
"231",0.0046666693330432
"232",-4.34617201487329e-09
"233",0.00350000261096284
"234",-0.0034999984006087
"235",0.00233333371579647
"236",-0.00603448374774949
"237",-0.00362068603361218
"238",-0.00844827162679927
"239",-0.0048275892462196
"240",-0.0108620707459491
"241",-0.00807692502768567
